"Player","Show","Role","Oneshot","Link"
"Chris Perkins","D&D Live 2019: The Descent Part 4","DM","Yes","https://www.youtube.com/watch?v=JqLwCAt7Gbc"
"Anna Prosser","D&D Live 2019: The Descent Part 4","Player","Yes","https://www.youtube.com/watch?v=JqLwCAt7Gbc"
"B. Dave Walters","D&D Live 2019: The Descent Part 4","Player","Yes","https://www.youtube.com/watch?v=JqLwCAt7Gbc"
"Deborah Ann Woll","D&D Live 2019: The Descent Part 4","Player","Yes","https://www.youtube.com/watch?v=JqLwCAt7Gbc"
"Jim Zub","D&D Live 2019: The Descent Part 4","Player","Yes","https://www.youtube.com/watch?v=JqLwCAt7Gbc"
"Matthew Mercer","D&D Live 2019: The Descent Part 4","Player","Yes","https://www.youtube.com/watch?v=JqLwCAt7Gbc"
"Mica Burton","D&D Live 2019: The Descent Part 4","Player","Yes","https://www.youtube.com/watch?v=JqLwCAt7Gbc"
