"Player","Show","Role","Oneshot","Link"
"Chris Perkins","Dice, Camera, Action","DM","","https://www.youtube.com/watch?v=a1ZbgywIF6Y"
"Holly Conrad","Dice, Camera, Action","Player","","https://www.youtube.com/watch?v=a1ZbgywIF6Y"
"Anna Prosser","Dice, Camera, Action","Player","","https://www.youtube.com/watch?v=a1ZbgywIF6Y"
"Nathan Sharp","Dice, Camera, Action","Player","","https://www.youtube.com/watch?v=a1ZbgywIF6Y"
"Jared Knabenbauer","Dice, Camera, Action","Player","","https://www.youtube.com/watch?v=a1ZbgywIF6Y"
"Chris Trott","Dice, Camera, Action","Guest","",""
"Erika Ishii","Dice, Camera, Action","Guest","",""
"Mark Hulmes","Dice, Camera, Action","Guest","",""
"Aram Vartian","Dice, Camera, Action","Guest","",""
"Liisa Lee","Dice, Camera, Action","Guest","",""
"Sam Witwer","Dice, Camera, Action","Guest","",""
"Satine Phoenix","Dice, Camera, Action","Guest","",""
"Joe Hills","Dice, Camera, Action","Guest","",""
"Sam Sykes","Dice, Camera, Action","Guest","",""
"Allie Gonino","Dice, Camera, Action","Guest","",""
"Dani Hartel","Dice, Camera, Action","Guest","",""
"Geoff Robinson","Dice, Camera, Action","Guest","",""
"Ross O'Donovan","Dice, Camera, Action","Guest","",""
"Patrick Rothfuss","Dice, Camera, Action","Guest","",""
"Matthew Lillard","Dice, Camera, Action","Guest","",""
"Rachel Seeley","Dice, Camera, Action","Guest","",""
"Jerry Holkins","Dice, Camera, Action","Guest","",""
