Player,Show,Role,Oneshot,Link
Tom Hazell,High Rollers,Player,,https://www.youtube.com/watch?v=so1zVyGd5zk
Rhiannon Gower,High Rollers,Player,,https://www.youtube.com/watch?v=so1zVyGd5zk
Martyn Littlewood,High Rollers,Guest,,
Matthew Meredith,High Rollers,Guest,,
Kat,High Rollers,Guest,,
Elyssa Grant,High Rollers,Guest,,
Alex Smith,High Rollers,Guest,,
Dylan Sprouse,High Rollers,Guest,,
Duncan Jones,High Rollers,Guest,,
Kit Buss,High Rollers,Guest,,
Mike Fleming,High Rollers,Guest,,
Jonathan Whitten ,High Rollers,Guest,,
Benny Davis,High Rollers,Guest,,
,,,,
Patrick Rothfuss,Patrick & Friends,Player,Yes,https://www.youtube.com/watch?v=VQyLCwzPU_k
Felicia Day,Patrick & Friends,Player,Yes,https://www.youtube.com/watch?v=VQyLCwzPU_k
Chris Perkins,Patrick & Friends,Player,Yes,https://www.youtube.com/watch?v=VQyLCwzPU_k
Jeremy Crawford,Patrick & Friends,Player,Yes,https://www.youtube.com/watch?v=VQyLCwzPU_k
Amy Vorpahl,Patrick & Friends,Player,Yes,https://www.youtube.com/watch?v=VQyLCwzPU_k
Todd Kenreck,Patrick & Friends,DM,Yes,https://www.youtube.com/watch?v=VQyLCwzPU_k
,,,,
Chris Perkins,GameHole Con 2018,DM,Yes,https://www.youtube.com/watch?v=0zhUK_ZCdzU
Matthew Mercer,GameHole Con 2018,Player,Yes,https://www.youtube.com/watch?v=0zhUK_ZCdzU
Patrick Rothfuss,GameHole Con 2018,Player,Yes,https://www.youtube.com/watch?v=0zhUK_ZCdzU
Amy Vorpahl,GameHole Con 2018,Player,Yes,https://www.youtube.com/watch?v=0zhUK_ZCdzU
Peter V. Brett,GameHole Con 2018,Player,Yes,https://www.youtube.com/watch?v=0zhUK_ZCdzU
Gaurav Gulati,GameHole Con 2018,Player,Yes,https://www.youtube.com/watch?v=0zhUK_ZCdzU
Elisa Teague,GameHole Con 2018,Player,Yes,https://www.youtube.com/watch?v=0zhUK_ZCdzU
,,,,
Travis Willingham,Jocks Machina,Player,Yes,https://www.youtube.com/watch?v=-blGAjzL3yI
