"Player","Show","Role","Oneshot","Link"
"Joe Manganiello","CelebriD&D with Joe Manganiello","Player","Yes","https://www.youtube.com/watch?v=4IeEjfbpkt8"
"Jessica Chobot","CelebriD&D with Joe Manganiello","Player","Yes","https://www.youtube.com/watch?v=4IeEjfbpkt8"
"Taliesin Jaffe","CelebriD&D with Joe Manganiello","Player","Yes","https://www.youtube.com/watch?v=4IeEjfbpkt8"
"Marisha Ray","CelebriD&D with Joe Manganiello","Player","Yes","https://www.youtube.com/watch?v=4IeEjfbpkt8"
"Dan Casey","CelebriD&D with Joe Manganiello","Player","Yes","https://www.youtube.com/watch?v=4IeEjfbpkt8"
"Matthew Mercer","CelebriD&D with Joe Manganiello","DM","Yes","https://www.youtube.com/watch?v=4IeEjfbpkt8"
