"Player","Show","Role","Oneshot","Link"
"Matthew Mercer","CelebriD&D with Terry Crews","DM","Yes","https://www.youtube.com/watch?v=1ntfXLb5eFk"
"Terry Crews","CelebriD&D with Terry Crews","Player","Yes","https://www.youtube.com/watch?v=1ntfXLb5eFk"
"Troy Baker","CelebriD&D with Terry Crews","Player","Yes","https://www.youtube.com/watch?v=1ntfXLb5eFk"
"Ashly Burch","CelebriD&D with Terry Crews","Player","Yes","https://www.youtube.com/watch?v=1ntfXLb5eFk"
"Jessica Chobot","CelebriD&D with Terry Crews","Player","Yes","https://www.youtube.com/watch?v=1ntfXLb5eFk"
"Taliesin Jaffe","CelebriD&D with Terry Crews","Player","Yes","https://www.youtube.com/watch?v=1ntfXLb5eFk"
"Marisha Ray","CelebriD&D with Terry Crews","Player","Yes","https://www.youtube.com/watch?v=1ntfXLb5eFk"
