"Player","Show","Role","Oneshot","Link"
"Matthew Mercer","CelebriD&D with Game of Thrones' John Bradley","DM","Yes","https://www.youtube.com/watch?v=QiC0kCceYug"
"Dan Casey","CelebriD&D with Game of Thrones' John Bradley","Player","Yes","https://www.youtube.com/watch?v=QiC0kCceYug"
"Liam O'Brien","CelebriD&D with Game of Thrones' John Bradley","Player","Yes","https://www.youtube.com/watch?v=QiC0kCceYug"
"Laura Bailey","CelebriD&D with Game of Thrones' John Bradley","Player","Yes","https://www.youtube.com/watch?v=QiC0kCceYug"
"Jessica Chobot","CelebriD&D with Game of Thrones' John Bradley","Player","Yes","https://www.youtube.com/watch?v=QiC0kCceYug"
"John Bradley","CelebriD&D with Game of Thrones' John Bradley","Player","Yes","https://www.youtube.com/watch?v=QiC0kCceYug"
