"Player","Show","Role","Oneshot","Link"
"Dom Zook","Saving throw Sub-a-thon 2020: Session 2","DM","Yes","https://www.youtube.com/watch?v=cqH2HxwAM3A&list=PLkHjiWAUZQbomckyZRUhcg7W6FhJb66RV&index=3&t=0s"
"Reuben Bresler","Saving throw Sub-a-thon 2020: Session 2","Player","Yes",""
"Cynthia Marie","Saving throw Sub-a-thon 2020: Session 2","Player","Yes",""
"Ryan Omega","Saving throw Sub-a-thon 2020: Session 2","Player","Yes",""
"Markeia McCarty","Saving throw Sub-a-thon 2020: Session 2","Player","Yes",""
"Negaoryx","Saving throw Sub-a-thon 2020: Session 2","Player","Yes",""
"Aabria Iyengar","Saving throw Sub-a-thon 2020: Session 2","Player","Yes",""
